team,gold_diff,gold_diff_14min,elder_dragon_kills,baron_kills,dragon_kills,herald_kills,team_KD_ratio,game_length,objectives_stolen_away,first_turret_kill,second_turret_kill,third_turret_kill,baron_powerplay,first_blood,result
SG,-7034,242,0,1,1,1,0.5454545454545454,38.67995,0,1044713,2001111,,11.0,False,0
SHG,5342,-425,0,0,3,0,2.375,26.982633333333332,0,1193532,1507997,1588815,0,True,1
BC,-5342,425,0,1,0,2,0.42105263157894735,26.982633333333332,0,1004009,,,-3312.0,False,0
SHG,8996,-1584,0,1,4,0,2.1666666666666665,31.14666666666667,0,949112,1686217,1834034,4802.0,False,1
DFM,-8996,1584,0,0,0,2,0.46153846153846156,31.14666666666667,0,1070307,1602010,,0,True,0
DFM,10688,1454,0,1,2,2,1.894736842105263,35.13725,0,940268,1993838,2007691,2600.0,True,1
FL,-10688,-1454,0,1,3,0,0.5277777777777778,35.13725,0,1073078,,,-1618.0,False,0
BC,13175,2954,0,1,4,2,2.0,28.476583333333334,0,742622,1590248,1456968,0,False,1
V3,-13175,-2954,0,0,0,0,0.5,28.476583333333334,0,895991,,,0,True,0
SG,10952,1225,0,1,2,2,4.25,24.004966666666668,0,710111,1271916,1405810,1534.0,False,1
BC,-10952,-1225,0,0,1,0,0.23529411764705882,24.004966666666668,0,1112321,,,0,True,0
BC,5383,940,0,1,2,1,1.3333333333333333,30.441916666666668,0,810547,1812937,1797211,1008.0,True,1
DFM,-5383,-940,0,0,2,1,0.75,30.441916666666668,0,863453,,,0,False,0
FL,8702,17,0,1,3,1,2.2222222222222223,27.13415,0,1153778,1547924,1605385,2961.0,True,1
SHG,-8702,-17,0,0,1,1,0.45,27.13415,0,1035325,,,0,False,0
DFM,14030,341,0,1,1,1,2.75,26.8557,0,644014,1460782,1572451,0,True,1
SHG,-14030,-341,0,0,2,1,0.2727272727272727,26.8557,0,1177502,,,0,False,0
SG,9727,-357,0,1,3,2,3.25,29.187583333333333,0,906529,1399912,1696410,0,True,1
FL,-9727,357,0,0,1,0,0.23076923076923078,29.187583333333333,0,1251871,,,0,False,0
FL,10904,2842,0,1,1,0,4.333333333333333,28.82121666666667,0,1203236,1563018,1715328,585.0,True,1
CGA,-10904,-2842,0,0,3,2,0.23076923076923078,28.82121666666667,0,890370,,,0,False,0
V3,7151,856,0,1,3,1,2.625,33.23161666666667,0,1014018,1779075,1970535,0,True,1
AXZ,-7151,-856,0,1,2,1,0.38095238095238093,33.23161666666667,0,990586,1655847,,580.0,False,0
SHG,7958,-317,0,3,4,2,1.4166666666666667,42.27771666666667,1,1003705,2245171,1847977,1444.0,False,1
SG,-7958,317,0,0,2,0,0.7058823529411765,42.27771666666667,0,1014418,2459963,,0,True,0
SHG,7033,164,1,1,5,1,3.75,39.42848333333333,0,1322972,2062240,1966218,3040.0,True,1
DFM,-7033,-164,0,1,1,1,0.26666666666666666,39.42848333333333,1,950820,1417265,,-893.0,False,0
DFM,7432,1497,0,0,3,0,1.6153846153846154,31.928883333333335,0,946980,1865825,1877812,0,True,1
FL,-7432,-1497,0,1,1,2,0.5714285714285714,31.928883333333335,0,885445,,,-1787.0,False,0
DFM,10899,803,0,1,4,2,2.4285714285714284,30.488666666666667,0,1050405,1658667,1789034,4461.0,False,1
V3,-10899,-803,0,0,0,0,0.3888888888888889,30.488666666666667,0,1072266,,,0,True,0
CGA,13007,422,0,3,4,2,5.5,40.06486666666667,0,1355016,1801539,1957447,611.5,False,1
AXZ,-13007,-422,0,0,1,0,0.18181818181818182,40.06486666666667,2,1563983,,,0,True,0
LLL,10690,630,0,1,3,0,2.125,25.9567,0,927050,1380743,1526944,3809.0,False,1
DFM,-10690,-630,0,0,1,2,0.47058823529411764,25.9567,0,1104433,,,0,True,0
AXZ,5412,-2690,0,2,4,0,1.4705882352941178,41.1723,0,1454632,2118540,2445966,2503.5,False,1
BC,-5412,2690,0,0,1,2,0.68,41.1723,1,855942,1221579,,0,True,0
SG,12448,1569,0,1,3,1,2.4,28.109083333333334,0,1011776,1605551,1629794,3773.0,True,1
CGA,-12448,-1569,0,0,1,1,0.4166666666666667,28.109083333333334,0,1019252,,,0,False,0
AXZ,3125,-2727,0,1,2,1,1.2,35.68366666666667,0,920144,1840217,1807611,-34.0,False,1
SG,-3125,2727,0,1,4,1,0.8333333333333334,35.68366666666667,0,900287,1587790,,496.0,True,0
FL,11187,-672,0,1,2,1,2.5454545454545454,28.365083333333335,0,807327,1536876,1656793,3394.0,True,1
BC,-11187,672,0,0,1,1,0.39285714285714285,28.365083333333335,0,767530,1270375,,0,False,0
FL,16288,4877,0,1,3,2,20,23.175766666666668,0,777542,1272618,1356347,0,True,1
V3,-16288,-4877,0,0,0,0,0.0,23.175766666666668,0,995421,,,0,False,0
SG,8417,-1052,0,2,4,0,1.3333333333333333,34.303216666666664,0,917883,1857256,2019802,1497.0,True,1
BC,-8417,1052,0,0,1,2,0.75,34.303216666666664,0,907886,1317459,,0,False,0
DFM,10237,3162,0,1,3,2,1.5384615384615385,27.556583333333332,1,856336,1506559,1517762,927.0,True,1
SG,-10237,-3162,0,0,1,0,0.65,27.556583333333332,0,,,,0,False,0
SG,15025,2826,0,1,2,2,5.0,25.055533333333333,0,905382,1352349,1454160,946.0,True,1
CGA,-15025,-2826,0,0,1,0,0.2,25.055533333333333,0,1139054,,,0,False,0
SHG,17854,4988,0,1,3,1,9.0,22.6293,0,916999,1068812,1208627,0,True,1
AXZ,-17854,-4988,0,0,0,1,0.1111111111111111,22.6293,1,,,,0,False,0
AXZ,16062,4255,0,1,4,2,7.333333333333333,25.545516666666668,0,900865,1336371,1502531,443.0,True,1
BC,-16062,-4255,0,0,0,0,0.13636363636363635,25.545516666666668,0,,,,0,False,0
CGA,14122,3354,0,2,4,2,2.5,30.158733333333334,0,882603,1613820,1787549,-317.0,True,1
V3,-14122,-3354,0,0,1,0,0.4,30.158733333333334,0,886362,,,0,False,0
SHG,5016,-1322,0,0,3,0,2.111111111111111,35.7887,0,928920,1901481,2039220,0,True,1
V3,-5016,1322,0,1,1,2,0.42105263157894735,35.7887,0,892335,1904849,1935518,-3115.0,False,0
SHG,15295,4991,0,1,4,2,3.142857142857143,26.897266666666667,0,684887,1558854,1590946,445.0,True,1
BC,-15295,-4991,0,0,0,0,0.3181818181818182,26.897266666666667,0,1386603,,,0,False,0
SHG,5021,-120,0,3,2,0,0.9444444444444444,42.321133333333336,0,901504,2164665,2213974,173.5,False,1
CGA,-5021,120,0,0,4,2,1.0588235294117647,42.321133333333336,0,1313549,2063452,,0,True,0
AXZ,16850,4248,0,1,4,2,4.25,26.923766666666666,0,788847,1441201,1554261,4358.0,False,1
V3,-16850,-4248,0,0,0,0,0.23529411764705882,26.923766666666666,0,,,,0,True,0
SG,12622,3610,0,1,3,2,3.4,26.879633333333334,0,938256,1564132,1585452,0,True,1
V3,-12622,-3610,0,0,0,0,0.29411764705882354,26.879633333333334,0,1018583,,,0,False,0
PSG,3093,-862,1,3,5,1,0.8260869565217391,50.211866666666666,0,1252527,2227612,2979476,449.0,False,1
DFM,-3093,862,1,1,3,1,1.2105263157894737,50.211866666666666,0,990758,1739324,1491579,1387.0,True,0
FL,5804,-616,0,1,2,1,1.6,30.643483333333332,1,1024350,1629857,1815379,2643.0,False,1
AXZ,-5804,616,0,1,2,1,0.625,30.643483333333332,0,883900,,,0,True,0
CGA,7469,-1252,0,1,2,0,1.7777777777777777,30.216516666666667,0,1036333,1758585,1792984,4555.0,False,1
AXZ,-7469,1252,0,0,2,2,0.5625,30.216516666666667,0,931371,,,0,True,0
DFM,8347,813,0,1,1,2,1.8888888888888888,28.824983333333332,0,1121975,1662947,1702849,2890.0,True,1
BC,-8347,-813,0,0,3,0,0.5294117647058824,28.824983333333332,0,1100195,,,0,False,0
AXZ,12823,1799,1,2,5,0,1.8333333333333333,38.85033333333333,0,713899,1684747,2281851,2713.5,True,1
CGA,-12823,-1799,0,0,1,2,0.5454545454545454,38.85033333333333,0,719799,,,0,False,0
DFM,15146,2789,0,1,3,2,2.7,27.9927,0,895816,1409073,1451850,2088.0,False,1
BC,-15146,-2789,0,0,1,0,0.37037037037037035,27.9927,0,1221891,,,0,True,0
SHG,14355,1430,0,2,4,2,2.0,28.80955,0,1005471,1578090,1620732,3793.0,False,1
FL,-14355,-1430,0,0,0,0,0.5,28.80955,0,,,,0,True,0
DFM,9831,-87,0,1,4,0,2.6,29.951083333333333,0,945758,1766868,1776130,0,False,1
SHG,-9831,87,0,0,0,2,0.38461538461538464,29.951083333333333,0,828267,,,0,True,0
SG,13392,6820,0,0,4,2,5.2,27.0158,0,685518,1108238,1588581,0,True,1
FL,-13392,-6820,0,1,0,0,0.19230769230769232,27.0158,0,932041,,,-3081.0,False,0
DFM,9031,-62,0,1,2,0,1.6,26.83045,0,953523,1577771,1585609,0,False,1
CGA,-9031,62,0,0,1,2,0.625,26.83045,0,950021,1143834,,0,True,0
SG,10801,1638,0,1,3,2,9.0,27.103666666666665,0,940489,1481507,1589734,3332.0,True,1
CGA,-10801,-1638,0,0,1,0,0.1111111111111111,27.103666666666665,0,1070992,,,0,False,0
CGA,7945,483,0,0,3,2,2.8333333333333335,30.582383333333333,1,849301,1806922,1814978,0,False,1
BC,-7945,-483,0,1,1,0,0.35294117647058826,30.582383333333333,0,859005,,,-2089.0,True,0
FL,9908,438,0,2,3,1,1.1578947368421053,37.674533333333336,0,932496,1985929,2233794,593.0,False,1
SHG,-9908,-438,0,0,2,1,0.8636363636363636,37.674533333333336,0,631136,1770128,,0,True,0
DFM,14784,3207,0,1,3,0,1.8,24.71388333333333,0,900852,1356406,1442482,0,True,1
CGA,-14784,-3207,0,0,0,2,0.5555555555555556,24.71388333333333,0,,,,0,False,0
FL,8479,961,0,1,4,2,3.0,25.309583333333332,0,949377,1360287,1347195,110.0,True,1
SG,-8479,-961,0,0,0,0,0.3333333333333333,25.309583333333332,0,926142,1345027,,0,False,0
V3,8178,-462,0,1,2,1,2.8,32.90995,0,953202,1941624,1954276,0,True,1
SG,-8178,462,0,0,3,1,0.35714285714285715,32.90995,0,974522,1860395,,0,False,0
BC,4141,-386,0,1,4,0,1.2777777777777777,37.152833333333334,0,947324,1965436,2212438,0,False,1
FL,-4141,386,0,2,1,2,0.782608695652174,37.152833333333334,0,941921,1696807,1562157,678.5,True,0
DFM,7814,1313,0,1,3,0,2.0,29.2318,1,977326,1685620,1715679,0,False,1
AXZ,-7814,-1313,0,0,1,2,0.4782608695652174,29.2318,0,1139829,,,0,True,0
DFM,9573,-955,0,1,2,1,4.666666666666667,29.204966666666667,0,955516,1681465,1722060,2018.0,False,1
SHG,-9573,955,0,0,2,1,0.21428571428571427,29.204966666666667,0,950610,,,0,True,0
CGA,16064,4152,0,1,4,2,6.666666666666667,25.39855,0,829873,1449315,1493310,752.0,True,1
BC,-16064,-4152,0,0,0,0,0.15,25.39855,0,,,,0,False,0
SHG,9621,1156,0,1,4,2,2.0,29.7674,0,956431,1638463,1573927,2338.0,True,1
FL,-9621,-1156,0,0,1,0,0.5,29.7674,1,1467586,,,0,False,0
AXZ,15787,5939,0,1,4,2,2.8333333333333335,26.840783333333334,0,639808,1477520,1557764,0,False,1
FL,-15787,-5939,0,0,0,0,0.35294117647058826,26.840783333333334,0,933915,,,0,True,0
SG,13930,1101,0,1,2,0,9.0,23.6582,2,972690,1370232,1409057,0,True,1
CGA,-13930,-1101,0,0,1,2,0.1111111111111111,23.6582,0,,,,0,False,0
SG,7213,-553,0,1,3,2,2.4285714285714284,33.71458333333333,0,916495,1674817,1338628,378.0,True,1
SHG,-7213,553,0,1,1,0,0.4117647058823529,33.71458333333333,0,1260964,,,0,False,0
BC,13645,1517,0,2,1,2,4.333333333333333,29.253966666666667,0,636525,1667721,1516326,2331.0,False,1
AXZ,-13645,-1517,0,0,2,0,0.23076923076923078,29.253966666666667,0,1216738,,,0,True,0
DFM,2040,-188,2,1,6,1,1.3333333333333333,55.57305,0,903507,2388764,2396959,1828.0,False,1
SHG,-2040,188,0,3,3,1,0.75,55.57305,0,1012026,2130494,2575739,1059.6666666666667,True,0
SG,12565,2358,0,1,4,1,3.2,27.000283333333332,1,1049496,1558529,1569148,0,True,1
CGA,-12565,-2358,0,0,0,1,0.3125,27.000283333333332,0,1037731,1575452,,0,False,0
BC,13542,3056,0,2,1,2,2.5,29.119283333333332,0,1014571,1433152,1579087,4197.0,True,1
AXZ,-13542,-3056,0,0,2,0,0.4,29.119283333333332,0,,,,0,False,0
SHG,12598,2799,0,1,2,1,3.5,28.430583333333335,0,958509,1632593,1648993,2560.0,True,1
SG,-12598,-2799,0,0,1,1,0.2857142857142857,28.430583333333335,0,1010885,,,0,False,0
