team,gold_diff,gold_diff_14min,elder_dragon_kills,baron_kills,dragon_kills,herald_kills,team_KD_ratio,game_length,objectives_stolen_away,first_turret_kill,second_turret_kill,third_turret_kill,baron_powerplay,first_blood,result
SGB,-15402,-7077,0,0,0,0,0.2,24.065916666666666,0,,,,0,False,0
GAM,11329,2520,0,1,3,2,2.7142857142857144,29.762916666666666,1,907691,1605798,1763249,1424.0,True,1
SE,-11329,-2520,0,1,1,0,0.3684210526315789,29.762916666666666,0,917992,,,0,False,0
CES,14414,465,0,1,3,2,2.5,29.378566666666668,0,1005829,1416138,1722218,-187.0,False,1
MBE,-14414,-465,0,0,0,0,0.4,29.378566666666668,1,1393554,,,0,True,0
TW,10833,4092,0,2,2,1,2.4285714285714284,31.527416666666667,0,801774,1836055,1860453,1305.5,True,1
CES,-10833,-4092,0,0,2,1,0.4117647058823529,31.527416666666667,0,970440,1848712,,0,False,0
CES,10443,1600,0,2,4,0,2.875,31.22821666666667,0,1011729,1847303,1855278,817.0,False,1
TF,-10443,-1600,0,0,0,2,0.34782608695652173,31.22821666666667,0,1049793,1070932,,0,True,0
TS,9966,1189,0,1,4,0,2.75,29.119816666666665,0,951352,1672070,1719951,1474.0,False,1
GAM,-9966,-1189,0,0,0,2,0.36363636363636365,29.119816666666665,0,1069904,,,0,True,0
SGB,10316,315,0,2,1,0,1.4166666666666667,33.74098333333333,1,766225,1612315,1833847,1299.0,False,1
TF,-10316,-315,0,0,4,2,0.7058823529411765,33.74098333333333,0,1045805,1078725,,0,True,0
TS,8513,1277,0,1,2,0,1.75,31.6664,0,944206,1865063,1881097,0,True,1
TF,-8513,-1277,0,1,3,2,0.5714285714285714,31.6664,1,1278228,,,914.0,False,0
TF,9034,-157,0,3,2,0,1.25,39.010616666666664,1,1018833,1761546,2092346,39.0,False,1
TW,-9034,157,0,0,3,2,0.8,39.010616666666664,0,604678,1982746,,0,True,0
MBE,10313,1326,0,1,2,2,2.5714285714285716,28.79375,0,1076855,1697151,1706353,1595.0,False,1
SGB,-10313,-1326,0,1,2,0,0.3888888888888889,28.79375,0,1234351,,,0,True,0
GAM,12683,590,0,2,3,2,1.8,31.689083333333333,0,849996,1612785,1756297,3846.0,False,1
TW,-12683,-590,0,0,2,0,0.5555555555555556,31.689083333333333,1,944438,,,0,True,0
SGB,8735,1801,0,1,4,2,2.8,26.04405,0,623059,1427480,1531960,878.0,False,1
TF,-8735,-1801,0,0,0,0,0.35714285714285715,26.04405,0,912148,1438575,,0,True,0
GAM,13593,680,0,1,2,2,3.0,25.955183333333334,1,953431,1491737,1503771,5340.0,True,1
TW,-13593,-680,0,0,1,0,0.3333333333333333,25.955183333333334,0,928331,,,0,False,0
CES,13598,1848,0,2,4,2,4.666666666666667,31.19665,0,845649,1643314,1840680,5323.0,False,1
TS,-13598,-1848,0,0,0,0,0.21428571428571427,31.19665,1,1101773,,,0,True,0
TS,15815,3565,0,1,1,2,2.857142857142857,26.0947,0,852032,1498479,1536564,3789.0,True,1
CES,-15815,-3565,0,0,1,0,0.35,26.0947,0,,,,0,False,0
CES,9265,2851,0,1,3,0,2.1818181818181817,31.036933333333334,0,943410,1692323,1591082,273.0,True,1
MBE,-9265,-2851,0,0,1,2,0.4583333333333333,31.036933333333334,0,941542,1611491,,0,False,0
GAM,10183,4305,0,1,3,2,2.1666666666666665,28.672333333333334,0,856819,1347391,1688587,-1290.0,True,1
SGB,-10183,-4305,0,0,1,0,0.46153846153846156,28.672333333333334,1,945794,,,0,False,0
TW,6889,-1733,0,1,2,1,2.125,27.280083333333334,0,850096,1607456,1519957,-30.0,False,1
GAM,-6889,1733,0,0,1,1,0.4444444444444444,27.280083333333334,0,846326,,,0,True,0
SGB,9841,2198,0,2,2,2,1.4285714285714286,35.9326,0,993342,1978708,2133157,1240.0,False,1
TF,-9841,-2198,0,0,3,0,0.7,35.9326,0,858603,,,0,True,0
SGB,10085,901,0,2,3,1,2.2222222222222223,28.722616666666667,0,928051,1443807,1691898,3076.0,True,1
MBE,-10085,-901,0,0,1,1,0.45,28.722616666666667,0,844977,,,0,False,0
CES,12687,1157,0,2,3,1,2.0833333333333335,32.4964,0,982633,1889572,1915292,-1162.0,False,1
TS,-12687,-1157,0,0,2,1,0.48,32.4964,0,894177,1505596,,0,True,0
MBE,5566,202,0,1,3,0,1.0666666666666667,30.160266666666665,0,941768,1643623,1512923,2156.0,True,1
TW,-5566,-202,0,0,1,2,0.9375,30.160266666666665,0,844158,,,0,False,0
TS,9133,1910,0,0,3,2,3.25,31.28335,0,938560,1749848,1851557,0,True,1
TW,-9133,-1910,0,0,1,0,0.3076923076923077,31.28335,0,1011946,,,0,False,0
TW,8949,821,0,1,2,2,2.0,26.179216666666665,0,930651,1521162,1543856,0,False,1
GAM,-8949,-821,0,0,2,0,0.5,26.179216666666665,0,1525760,,,0,True,0
TF,6761,-416,0,2,4,0,2.5,36.575316666666666,0,1270097,1776530,2086944,-250.0,True,1
SGB,-6761,416,0,0,1,2,0.4,36.575316666666666,0,1124966,1602091,,0,False,0
TW,9174,-2472,0,2,2,1,1.5,33.6112,0,891628,1907217,1986712,1781.0,True,1
CES,-9174,2472,0,0,3,1,0.6666666666666666,33.6112,0,940647,1333310,,0,False,0
TS,10762,1591,0,1,4,1,2.4285714285714284,27.638483333333333,0,766945,1382769,1625381,4376.0,False,1
SGB,-10762,-1591,0,0,0,1,0.4117647058823529,27.638483333333333,0,978394,,,0,True,0
GAM,18084,454,0,2,3,0,2.1538461538461537,28.899083333333333,0,925524,1431811,1684765,4050.0,False,1
MBE,-18084,-454,0,0,1,2,0.4642857142857143,28.899083333333333,0,983048,1055758,,0,True,0
SGB,7742,58,1,1,5,1,1.7,35.33518333333333,0,854236,2043708,2074189,5250.0,True,1
TF,-7742,-58,0,1,0,1,0.5882352941176471,35.33518333333333,1,874586,1499967,,1724.0,False,0
TS,12344,3945,0,2,3,1,1.6363636363636365,30.276266666666668,0,980673,1630108,1793938,841.0,True,1
CES,-12344,-3945,0,0,1,1,0.6111111111111112,30.276266666666668,0,1735638,,,0,False,0
TW,13734,1572,0,1,2,1,2.4444444444444446,24.05935,0,961561,1349676,1401173,4101.0,True,1
CES,-13734,-1572,0,0,0,1,0.4090909090909091,24.05935,0,964262,,,0,False,0
CES,16044,5396,0,1,3,2,18.0,24.4821,0,900097,1340893,1423495,3608.0,True,1
MBE,-16044,-5396,0,0,1,0,0.05555555555555555,24.4821,0,1317552,,,0,False,0
GAM,15300,2707,0,1,3,2,3.5,24.50785,0,850410,1381855,1434227,4862.0,True,1
MBE,-15300,-2707,0,0,0,0,0.2857142857142857,24.50785,0,1391888,,,0,False,0
TS,6163,-2014,0,1,2,0,0.9,33.280483333333336,0,1165280,1916509,1859385,3514.0,False,1
CES,-6163,2014,0,0,3,2,1.0,33.280483333333336,0,849141,1948427,1959133,0,True,0
SGB,12256,1854,0,1,4,1,2.5,28.965733333333333,0,1016037,1577491,1663711,798.0,False,1
CES,-12256,-1854,0,0,0,1,0.4,28.965733333333333,0,,,,0,True,0
GAM,13811,2334,0,1,3,1,4.75,26.444566666666667,0,904291,1519231,1541552,5334.0,False,1
SGB,-13811,-2334,0,0,0,1,0.21052631578947367,26.444566666666667,0,1007721,,,0,True,0
GAM,12768,-24,0,1,2,1,1.588235294117647,29.46385,0,856247,1648858,1661915,1148.0,True,1
SGB,-12768,24,0,0,2,1,0.6296296296296297,29.46385,0,996221,1331739,,0,False,0
CES,7241,606,0,1,2,2,1.3636363636363635,31.327883333333332,0,1018549,1714455,1854194,3282.0,False,1
TS,-7241,-606,0,0,2,0,0.7333333333333333,31.327883333333332,0,1036307,,,0,True,0
SGB,10151,47,0,1,1,0,2.375,23.937483333333333,0,922254,1404003,1414433,0,False,1
TF,-10151,-47,0,0,3,2,0.42105263157894735,23.937483333333333,0,1040019,,,0,True,0
MBE,8607,4210,0,1,1,2,1.9090909090909092,30.555966666666666,0,779812,1778014,1806811,0,True,1
GAM,-8607,-4210,0,0,3,0,0.5238095238095238,30.555966666666666,0,1389390,1613124,,0,False,0
TW,10392,413,0,1,2,2,2.5,26.9537,0,1041616,1537481,1582446,0,True,1
SGB,-10392,-413,0,0,1,0,0.4,26.9537,0,1132008,,,0,False,0
SGB,7316,-1111,0,1,3,0,1.625,38.477066666666666,0,852302,1726721,2290532,3492.0,False,1
TF,-7316,1111,0,1,2,2,0.6153846153846154,38.477066666666666,1,887334,,,-1253.0,True,0
R7,393,1675,0,0,4,0,1.0454545454545454,35.59193333333333,1,1038251,1818560,2099980,0,True,1
GAM,-393,-1675,0,1,2,2,0.9565217391304348,35.59193333333333,0,1035320,1742958,1920737,5423.0,False,0
GAM,13073,3269,0,1,2,2,2.857142857142857,25.039283333333334,0,840797,1443768,1349784,2377.0,True,1
TS,-13073,-3269,0,0,1,0,0.35,25.039283333333334,1,1085433,,,0,False,0
MBE,7088,1104,0,2,3,2,1.6923076923076923,35.582883333333335,0,849805,1963965,2006489,1393.0,True,1
CES,-7088,-1104,0,0,2,0,0.5909090909090909,35.582883333333335,1,949983,1450291,,0,False,0
CES,14141,2379,1,3,5,1,1.9090909090909092,37.11396666666667,0,671561,1319139,2211098,1962.0,True,1
TW,-14141,-2379,0,0,1,1,0.5238095238095238,37.11396666666667,2,585560,1184157,,0,False,0
GAM,1645,620,0,0,2,1,1.25,34.2047,0,855910,1607554,2024395,0,False,1
TS,-1645,-620,0,2,3,1,0.8,34.2047,0,1002383,1754814,,1462.0,True,0
TF,7387,1464,0,2,3,1,2.2857142857142856,32.870066666666666,1,856840,1706147,1469043,-656.5,False,1
SGB,-7387,-1464,0,0,2,1,0.4375,32.870066666666666,0,965731,1461776,,0,True,0
TW,10692,-1929,0,1,3,0,3.3333333333333335,29.604266666666668,0,988302,1424964,1601830,5025.0,False,1
TF,-10692,1929,0,0,0,2,0.3,29.604266666666668,1,653102,1072208,,0,True,0
TW,8771,641,0,1,2,1,2.1666666666666665,27.2103,0,850847,1488692,1568014,1148.0,True,1
CES,-8771,-641,0,0,1,1,0.46153846153846156,27.2103,0,1069656,,,0,False,0
CES,9791,-2885,0,1,2,1,2.1538461538461537,32.8864,0,920703,1651481,1749379,1876.0,True,1
MBE,-9791,2885,0,0,2,1,0.4642857142857143,32.8864,0,849064,1603232,,0,False,0
SGB,5951,3691,0,0,3,1,2.2222222222222223,29.320816666666666,0,623669,1322346,1332817,0,True,1
MBE,-5951,-3691,0,1,2,1,0.4,29.320816666666666,0,926898,,,-2891.0,False,0
MBE,11511,52,0,1,1,2,2.2222222222222223,32.534533333333336,0,954423,1618556,1944661,4372.0,False,1
TF,-11511,-52,0,0,3,0,0.45,32.534533333333336,1,1130225,1488405,1500209,0,True,0
TW,11815,2475,0,1,3,1,2.6666666666666665,22.899583333333332,0,860921,1319473,1329977,0,True,1
MBE,-11815,-2475,0,0,0,1,0.375,22.899583333333332,0,951244,,,0,False,0
SGB,7009,3296,0,1,4,1,2.1,32.769283333333334,0,795125,1929485,1939126,0,False,1
MBE,-7009,-3296,0,1,1,1,0.47619047619047616,32.769283333333334,0,914942,1762957,1802322,-1341.0,True,0
GAM,2882,-1498,0,0,3,0,1.5714285714285714,32.68875,0,1224996,1695434,1929687,0,False,1
CES,-2882,1498,0,1,2,2,0.6363636363636364,32.68875,0,1050516,1618146,1631937,-4257.0,True,0
TS,8313,-237,0,2,2,0,2.0,32.214533333333335,0,852802,1878611,1905598,1999.0,False,1
TW,-8313,237,0,0,2,2,0.5,32.214533333333335,0,992850,1883080,1900019,0,True,0
TF,11109,3178,0,1,4,2,5.25,28.5502,0,991030,1494848,1677839,137.0,True,1
SGB,-11109,-3178,0,0,0,0,0.19047619047619047,28.5502,0,1129116,1476118,,0,False,0
CES,10084,3196,0,1,3,0,3.2,25.27265,0,914798,1388908,1488499,0,True,1
GAM,-10084,-3196,0,0,0,2,0.3125,25.27265,0,829900,,,0,False,0
TW,8323,1966,0,1,1,1,3.6666666666666665,25.723883333333333,0,881082,1419872,1482162,1903.0,False,1
SGB,-8323,-1966,0,0,2,1,0.2727272727272727,25.723883333333333,0,890324,1219552,,0,True,0
GAM,-713,508,0,0,4,1,1.4705882352941178,32.9071,1,858780,1687472,1953744,0,False,1
SE,713,-508,0,1,1,1,0.68,32.9071,1,1046756,1775014,1942918,2943.0,True,0
CES,11342,1993,0,1,3,1,2.142857142857143,26.30025,0,894743,1536590,1547295,0,True,1
TS,-11342,-1993,0,0,0,1,0.4666666666666667,26.30025,0,895408,,,0,False,0
GAM,9388,1450,0,1,3,0,1.6923076923076923,30.008316666666666,0,889221,1623117,1795023,1362.0,False,1
SGB,-9388,-1450,0,1,2,2,0.5909090909090909,30.008316666666666,0,915210,,,0,True,0
TF,4514,-1626,0,0,2,2,1.4166666666666667,31.088316666666667,0,1041519,1518990,1837695,0,False,1
TW,-4514,1626,0,2,2,0,0.7058823529411765,31.088316666666667,0,959310,,,-4484.0,True,0
TF,8987,770,0,1,4,1,2.5,29.053366666666665,0,956306,1534721,1718151,1613.0,True,1
MBE,-8987,-770,0,0,0,1,0.4,29.053366666666665,0,1445179,,,0,False,0
TS,12188,630,0,1,2,1,2.6,23.438816666666668,0,1054150,1385449,1350690,6475.0,False,1
MBE,-12188,-630,0,0,1,1,0.38461538461538464,23.438816666666668,0,1071264,,,0,True,0
GAM,12809,2110,0,1,4,2,2.5,34.49061666666667,0,660015,1940702,2042213,4785.0,True,1
TS,-12809,-2110,0,0,1,0,0.4,34.49061666666667,0,1043517,,,0,False,0
TS,6787,-546,0,1,1,0,1.6666666666666667,24.924366666666668,0,889912,1297177,1450656,0,False,1
TW,-6787,546,0,0,2,2,0.6,24.924366666666668,0,1055000,,,0,True,0
GAM,10881,458,0,1,3,0,2.375,26.625816666666665,0,776275,1282342,1426250,-1200.0,True,1
MBE,-10881,-458,0,0,0,2,0.42105263157894735,26.625816666666665,0,749021,,,0,False,0
TS,4316,-6036,1,2,2,1,1.1333333333333333,44.56426666666667,0,1019889,2241171,2648014,561.0,False,1
SGB,-4316,6036,1,2,5,1,0.8823529411764706,44.56426666666667,1,750534,1460693,2434687,-50.0,True,0
GAM,7114,-585,0,1,3,0,1.75,28.569266666666667,0,1035220,1504940,1691869,2549.0,False,1
TS,-7114,585,0,0,1,2,0.5714285714285714,28.569266666666667,0,1026276,,,0,True,0
TS,6617,2129,1,1,5,1,1.75,40.25111666666667,1,918778,2077002,1963530,2041.0,False,1
MBE,-6617,-2129,0,1,1,1,0.5714285714285714,40.25111666666667,0,1139818,1955020,,-932.0,True,0
TS,11142,-1270,0,2,4,0,1.875,29.6883,0,857464,1419751,1740976,1814.0,True,1
TW,-11142,1270,0,0,0,2,0.5333333333333333,29.6883,0,858734,1152422,,0,False,0
CES,15342,3217,0,1,3,1,4.666666666666667,23.604966666666666,0,747467,1360415,1381074,0,True,1
TW,-15342,-3217,0,0,0,1,0.21428571428571427,23.604966666666666,0,,,,0,False,0
GAM,8176,-1919,0,1,2,0,1.25,29.125066666666665,0,910410,1697681,1723487,0,False,1
TF,-8176,1919,0,0,2,2,0.8,29.125066666666665,0,997417,,,0,True,0
SGB,15464,4034,0,1,4,2,4.333333333333333,27.44825,0,852310,1546297,1614510,1211.0,False,1
CES,-15464,-4034,0,0,0,0,0.23076923076923078,27.44825,0,1436793,,,0,True,0
MBE,16359,6104,0,2,4,2,4.5,33.07861666666667,0,834251,1530173,1946610,478.0,True,1
TF,-16359,-6104,0,0,1,0,0.2222222222222222,33.07861666666667,0,1162612,,,0,False,0
MBE,10304,2138,0,1,2,1,3.75,25.439166666666665,0,891098,1400154,1408862,-464.0,False,1
CES,-10304,-2138,0,0,1,1,0.26666666666666666,25.439166666666665,0,1279895,,,0,True,0
GG,11819,1714,0,1,4,2,2.5,26.940533333333335,0,923256,1326848,1571680,3263.0,True,1
GAM,-11819,-1714,0,0,0,0,0.4,26.940533333333335,0,1044053,,,0,False,0
GAM,324,1514,0,1,2,1,0.9047619047619048,34.102666666666664,0,857251,2038063,1994927,-1208.0,False,1
MBE,-324,-1514,0,0,2,1,1.05,34.102666666666664,1,1251630,1999007,2013954,0,True,0
TW,15855,4100,0,1,4,2,3.6,24.85545,0,801156,1403806,1439415,2879.0,True,1
SGB,-15855,-4100,0,0,0,0,0.2777777777777778,24.85545,0,,,,0,False,0
TF,3247,2064,0,1,4,1,1.0,34.5066,0,907917,1862779,1981576,1503.0,False,1
CES,-3247,-2064,0,0,1,1,1.0,34.5066,0,1393351,,,0,True,0
TS,-3127,-493,0,2,4,1,0.46153846153846156,40.976333333333336,0,1036747,1696995,2244264,8.5,True,1
TF,3127,493,1,1,2,1,2.1666666666666665,40.976333333333336,1,1137026,2418133,2428732,544.0,False,0
TW,12372,-468,1,2,5,2,4.5,33.61281666666667,0,1054910,1922585,1929418,1609.0,True,1
CES,-12372,468,0,0,0,0,0.2222222222222222,33.61281666666667,0,1071133,,,0,False,0
TF,7126,307,0,1,3,1,1.7777777777777777,26.251366666666666,0,833949,1531222,1551609,0,True,1
GAM,-7126,-307,0,0,0,1,0.5625,26.251366666666666,0,856617,1532723,,0,False,0
TS,2339,533,0,1,3,1,1.9230769230769231,36.4832,1,954258,1334177,2059820,517.0,False,1
MBE,-2339,-533,0,1,2,1,0.52,36.4832,1,945106,1702679,1720997,-195.0,True,0
TS,8388,1228,0,0,4,1,2.4285714285714284,26.05735,0,650814,1375122,1498935,0,False,1
TF,-8388,-1228,0,1,0,1,0.4117647058823529,26.05735,0,1157560,,,-4500.0,True,0
TF,1841,1812,0,1,3,1,1.5833333333333333,33.65623333333333,0,980036,1352018,1408958,2063.0,True,1
MBE,-1841,-1812,0,1,2,1,0.631578947368421,33.65623333333333,0,1131185,1802769,,3092.0,False,0
TW,10147,-1067,1,2,5,1,1.1818181818181819,38.9628,1,804730,1536984,2222475,1461.0,False,1
TF,-10147,1067,0,1,0,1,0.8461538461538461,38.9628,0,856702,1714322,,-2078.0,True,0
TS,7788,1578,0,1,3,1,3.5,29.693133333333332,1,918425,1738358,1650241,-477.0,True,1
GAM,-7788,-1578,0,0,1,1,0.2857142857142857,29.693133333333332,0,923962,1648705,,0,False,0
TF,7821,1678,0,1,2,0,2.5714285714285716,31.11766666666667,0,1093618,1722736,1706475,768.0,True,1
GAM,-7821,-1678,0,0,2,2,0.3888888888888889,31.11766666666667,0,1061207,1642498,1654970,0,False,0
GAM,12623,-632,0,2,4,1,2.25,36.60475,0,1149327,1915566,2138216,520.0,False,1
TW,-12623,632,0,0,2,1,0.4444444444444444,36.60475,1,1009777,1933980,1958084,0,True,0
TW,8137,-1279,0,2,3,2,2.75,41.174166666666665,0,946736,2425427,2434526,2806.0,False,1
MBE,-8137,1279,0,1,3,0,0.36363636363636365,41.174166666666665,0,815479,1743549,1629653,-426.0,True,0
